source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T07:21:53+00:00,28417004,0.0000,6.0804621,45.0901441,942286.446,6448157.313,1842.41,1842.5800
live,2026-08-07T07:21:53+00:00,28417004,8.1826,6.0805646,45.0901316,942294.557,6448156.240,1842.75,1842.6200
live,2026-08-07T07:21:53+00:00,28417004,15.4983,6.0806532,45.0901116,942301.609,6448154.293,1842.70,1842.5733
live,2026-08-07T07:21:53+00:00,28417004,22.9064,6.0807386,45.0900835,942308.444,6448151.436,1842.27,1842.0975
live,2026-08-07T07:21:53+00:00,28417004,28.7980,6.0808048,45.0900587,942313.756,6448148.887,1841.92,1841.8967
live,2026-08-07T07:21:53+00:00,28417004,34.0137,6.0808617,45.0900346,942318.334,6448146.387,1841.50,1841.7625
live,2026-08-07T07:21:53+00:00,28417004,41.8519,6.0809452,45.0899961,942325.064,6448142.371,1841.36,1841.5567
live,2026-08-07T07:21:53+00:00,28417004,50.3089,6.0810315,45.0899507,942332.045,6448137.597,1841.81,1841.9900
live,2026-08-07T07:21:53+00:00,28417004,59.2594,6.0811091,45.0898918,942338.405,6448131.299,1842.80,1842.9400
live,2026-08-07T07:21:53+00:00,28417004,68.2099,6.0811868,45.0898329,942344.764,6448125.001,1844.21,1843.9400
live,2026-08-07T07:21:53+00:00,28417004,76.7031,6.0812460,45.0897690,942349.698,6448118.087,1844.81,1844.8467
live,2026-08-07T07:21:53+00:00,28417004,85.1963,6.0813053,45.0897050,942354.632,6448111.174,1845.52,1845.5267
live,2026-08-07T07:21:53+00:00,28417004,93.6895,6.0813645,45.0896411,942359.565,6448104.261,1846.25,1846.2467
live,2026-08-07T07:21:53+00:00,28417004,103.4813,6.0814409,45.0895715,942365.873,6448096.771,1846.97,1846.9367
live,2026-08-07T07:21:53+00:00,28417004,112.6841,6.0815307,45.0895184,942373.162,6448091.154,1847.59,1847.6167
live,2026-08-07T07:21:53+00:00,28417004,119.2184,6.0816079,45.0894967,942379.325,6448088.982,1848.29,1848.2833
live,2026-08-07T07:21:53+00:00,28417004,127.8101,6.0817105,45.0894702,942387.506,6448086.357,1848.97,1849.1300
live,2026-08-07T07:21:53+00:00,28417004,132.9155,6.0817745,45.0894626,942392.570,6448085.710,1849.52,1849.6550
live,2026-08-07T07:21:53+00:00,28417004,138.0209,6.0818385,45.0894550,942397.634,6448085.063,1849.74,1849.8720
live,2026-08-07T07:21:53+00:00,28417004,144.1197,6.0819159,45.0894574,942403.713,6448085.561,1850.39,1850.3220
live,2026-08-07T07:21:53+00:00,28417004,150.2186,6.0819934,45.0894597,942409.791,6448086.060,1850.74,1850.7620
live,2026-08-07T07:21:53+00:00,28417004,155.3288,6.0820571,45.0894687,942414.760,6448087.254,1851.22,1851.0175
live,2026-08-07T07:21:53+00:00,28417004,160.4390,6.0821208,45.0894777,942419.729,6448088.448,1851.72,1851.5525
live,2026-08-07T07:21:53+00:00,28417004,168.3139,6.0822186,45.0894928,942427.351,6448090.424,1852.53,1852.4900
live,2026-08-07T07:21:53+00:00,28417004,177.5270,6.0823294,45.0895196,942435.948,6448093.737,1853.22,1853.1533
live,2026-08-07T07:21:53+00:00,28417004,186.7400,6.0824403,45.0895464,942444.545,6448097.050,1853.71,1853.7233
live,2026-08-07T07:21:53+00:00,28417004,195.9531,6.0825511,45.0895731,942453.142,6448100.362,1854.24,1854.2233
live,2026-08-07T07:21:53+00:00,28417004,205.1661,6.0826619,45.0895999,942461.739,6448103.675,1854.72,1854.5967
live,2026-08-07T07:21:53+00:00,28417004,214.3792,6.0827728,45.0896267,942470.336,6448106.988,1854.83,1854.9233
live,2026-08-07T07:21:53+00:00,28417004,223.5922,6.0828836,45.0896535,942478.933,6448110.300,1855.22,1855.3533
live,2026-08-07T07:21:53+00:00,28417004,232.1150,6.0829846,45.0896812,942486.753,6448113.690,1856.01,1855.9667
live,2026-08-07T07:21:53+00:00,28417004,240.6378,6.0830856,45.0897090,942494.572,6448117.080,1856.67,1856.7300
live,2026-08-07T07:21:53+00:00,28417004,250.1117,6.0831989,45.0897379,942503.354,6448120.635,1857.51,1857.4167
live,2026-08-07T07:21:53+00:00,28417004,259.5856,6.0833122,45.0897668,942512.135,6448124.190,1858.07,1858.1000
live,2026-08-07T07:21:53+00:00,28417004,269.0596,6.0834255,45.0897957,942520.917,6448127.746,1858.72,1858.5133
live,2026-08-07T07:21:53+00:00,28417004,276.5058,6.0835183,45.0898088,942528.158,6448129.481,1858.75,1858.7833
live,2026-08-07T07:21:53+00:00,28417004,283.9521,6.0836112,45.0898218,942535.399,6448131.216,1858.88,1858.8433
live,2026-08-07T07:21:53+00:00,28417004,291.3984,6.0837040,45.0898349,942542.641,6448132.951,1858.90,1858.9000
live,2026-08-07T07:21:53+00:00,28417004,299.1704,6.0838009,45.0898484,942550.202,6448134.747,1858.92,1858.9167
live,2026-08-07T07:21:53+00:00,28417004,306.9424,6.0838979,45.0898619,942557.764,6448136.543,1858.93,1858.9267
live,2026-08-07T07:21:53+00:00,28417004,314.7145,6.0839948,45.0898754,942565.326,6448138.339,1858.93,1859.0500
live,2026-08-07T07:21:53+00:00,28417004,322.6632,6.0840947,45.0898861,942573.133,6448139.834,1859.29,1859.3200
live,2026-08-07T07:21:53+00:00,28417004,330.6120,6.0841946,45.0898968,942580.940,6448141.328,1859.74,1859.8433
live,2026-08-07T07:21:53+00:00,28417004,338.5607,6.0842945,45.0899075,942588.747,6448142.822,1860.50,1860.4700
live,2026-08-07T07:21:53+00:00,28417004,346.0058,6.0843875,45.0899199,942596.004,6448144.484,1861.17,1860.8350
