source,retrieved_at,osm_way_id,chainage_m,longitude,latitude,x_epsg2154_m,y_epsg2154_m,elevation_measured_m,elevation_conditioned_m
live,2026-08-07T19:50:49+00:00,28437433,0.0000,6.0590081,45.0830084,940630.573,6447299.800,1528.16,1527.6600
live,2026-08-07T19:50:49+00:00,28437433,9.8705,6.0588828,45.0830127,940620.703,6447299.896,1527.16,1527.3500
live,2026-08-07T19:50:49+00:00,28437433,13.8606,6.0588329,45.0830191,940616.752,6447300.454,1526.73,1526.6467
live,2026-08-07T19:50:49+00:00,28437433,22.8111,6.0587228,45.0830395,940608.012,6447302.383,1526.05,1526.0000
live,2026-08-07T19:50:49+00:00,28437433,31.7616,6.0586128,45.0830599,940599.272,6447304.311,1525.22,1525.0775
live,2026-08-07T19:50:49+00:00,28437433,37.5627,6.0585447,45.0830800,940593.835,6447306.335,1524.83,1524.7533
live,2026-08-07T19:50:49+00:00,28437433,43.3638,6.0584767,45.0831001,940588.398,6447308.358,1524.21,1524.4350
live,2026-08-07T19:50:49+00:00,28437433,51.0578,6.0583877,45.0831288,940581.277,6447311.272,1523.48,1523.4367
live,2026-08-07T19:50:49+00:00,28437433,58.7519,6.0582987,45.0831575,940574.156,6447314.186,1522.62,1522.4525
live,2026-08-07T19:50:49+00:00,28437433,64.3159,6.0582403,45.0831857,940569.443,6447317.143,1522.06,1521.8350
live,2026-08-07T19:50:49+00:00,28437433,69.8799,6.0581819,45.0832140,940564.730,6447320.100,1521.65,1521.5620
live,2026-08-07T19:50:49+00:00,28437433,75.7738,6.0581208,45.0832447,940559.798,6447323.327,1521.01,1521.0200
live,2026-08-07T19:50:49+00:00,28437433,81.6676,6.0580598,45.0832755,940554.866,6447326.554,1520.47,1520.7600
live,2026-08-07T19:50:49+00:00,28437433,88.2351,6.0579988,45.0833159,940549.900,6447330.851,1519.91,1520.1825
live,2026-08-07T19:50:49+00:00,28437433,94.8025,6.0579379,45.0833563,940544.934,6447335.149,1519.34,1519.4400
live,2026-08-07T19:50:49+00:00,28437433,103.8515,6.0578737,45.0834239,940539.596,6447342.456,1519.07,1519.0933
live,2026-08-07T19:50:49+00:00,28437433,112.8269,6.0578223,45.0834960,940535.242,6447350.305,1518.87,1518.9200
live,2026-08-07T19:50:49+00:00,28437433,121.8023,6.0577708,45.0835682,940530.888,6447358.153,1518.82,1518.8000
live,2026-08-07T19:50:49+00:00,28437433,130.7777,6.0577194,45.0836403,940526.534,6447366.002,1518.71,1518.1300
live,2026-08-07T19:50:49+00:00,28437433,134.9084,6.0576839,45.0836677,940523.625,6447368.934,1518.31,1517.5960
live,2026-08-07T19:50:49+00:00,28437433,137.7868,6.0576517,45.0836800,940521.041,6447370.201,1517.71,1517.2467
live,2026-08-07T19:50:49+00:00,28437433,141.2661,6.0576088,45.0836876,940517.635,6447370.914,1517.10,1516.9043
live,2026-08-07T19:50:49+00:00,28437433,145.0723,6.0575605,45.0836857,940513.846,6447370.556,1516.15,1516.2486
live,2026-08-07T19:50:49+00:00,28437433,147.6407,6.0575310,45.0836758,940511.569,6447369.368,1515.50,1515.5571
live,2026-08-07T19:50:49+00:00,28437433,150.4785,6.0575042,45.0836587,940509.535,6447367.388,1514.85,1515.1983
live,2026-08-07T19:50:49+00:00,28437433,153.9920,6.0574807,45.0836318,940507.803,6447364.331,1514.12,1514.6000
